Football Manager ID,Transfermarkt ID
106,1
752,3
5,4
129504,239
753,5
6,6
129514,232
1649,9
754,10
360,233
1435,12
755,127
756,13
107,15
108,16
361,17
758,18
757,19
362,20
7,21
363,211
131012,22
1650,23
214395,269
759,24
8,25
1651,26
129517,231
109,27
760,28
9,29
5630219,116
10,30
118,79
11,31
364,80
12,32
365,229
13,138
14,171
1652,33
110,34
138,164
1653,83
919586,35
366,36
761,37
367,88
380,260
762,188
763,172
53,193
764,39
15,41
368,42
142527,43
5626837,242
1654,44
16,2
370,45
765,189
17,8
129511,46
766,47
18,11
767,208
1437,48
768,49
769,50
917496,252
19,51
770,53
771,40
21,54
214394,54
772,56
371,55
917498,251
129508,241
373,58
22,59
23,60
374,61
375,62
784,122
376,66
111,218
773,178
774,73
112,67
113,68
114,71
115,70
775,74
776,75
24,38
377,76
116,77
117,78
119,81
25,82
209002,246
217945,244
120,89
121,90
122,91
777,92
123,94
26,93
27,95
28,96
778,97
779,98
780,99
124,219
29,101
30,102
125,103
126,104
