Football Manager ID,Transfermarkt ID
2000044079,774057
23276522,317154
717791,16955
23020963,69690
66029641,260196
28059949,196693
1007706,147994
29103879,264206
51069306,312570
72052969,644774
14185339,653690
14137412,534358
63012819,330140
14000436,39115
5113319,22229
14005573,66587
14138291,873150
2000045354,804793
14024705,282631
14129803,538612
14022973,125735
14022575,141813
58123760,449722
58076741,300538
43131104,229817
58039641,98539
13220742,735723
2000088906,873070
34054242,824087
19411173,726362
2000139946,661982
23141130,236685
20044631,481354
58058535,129103
2000080737,863119
14026768,359006
14110830,442228
14029061,568844
72038783,254230
14137864,498172
2000109050,859905
89065951,837200
957220,26727
62220040,586924
562179,34691
17027718,249747
67011234,45304
23327512,521008
23035246,185720
23032388,211159
23180113,356035
23221097,269035
23097650,211902
1007686,147827
23221057,271023
23050262,156057
5629562,269240
5625973,156075
23032684,254188
67066748,221985
92057939,170517
91109615,162434
5607656,34787
8718235,21726
837912,12563
57067904,164231
43041089,160334
43016424,84344
8428615,57344
85056994,127075
49040824,537127
34008680,127142
49040517,585951
67191442,336828
43462052,613152
43161835,300446
14164743,267753
956657,3755
95070706,672527
33078020,586591
33061176,471793
2000084297,859022
8505627,37295
34045182,824392
23027365,211165
18017686,54214
86005935,101031
83231008,716576
91199378,229452
35014362,52861
92090214,331151
92027572,103421
91133517,198172
91144302,152641
91002735,84939
91133521,201149
91190528,234177
91136518,87695
91014206,112585
91177155,367426
92023781,107872
91156270,152263
91132871,157372
35018024,45691
53016143,89647
91199377,374421
2000071560,224006
91003951,53149
67199153,309980
14060551,267721
965624,89246
954444,40501
14118220,504258
14129498,384761
45097815,614696
70104416,456467
33000893,47787
33082349,564319
14208669,563509
84125475,388588
86044005,355632
19305272,520629
2000085195,488296
23158018,148178
76062698,613201
19352184,547948
55024251,139337
67256557,531267
23363372,437944
62129312,238595
17004141,116873
64014208,91415
78087178,489034
75032114,501241
14133662,359042
70104854,458108
70007114,114956
70114457,569509
70075950,289004
70063055,205956
70096274,342022
23064327,202180
17000516,114303
23111373,156869
55009666,122844
19223132,344995
78063279,420400
19381358,551656
83288807,650069
86057332,348042
67222263,371970
79030556,670966
2000021000,794925
24047051,286807
23249542,279530
23217504,269829
85072782,164914
66031995,261394
24041317,226065
23327508,527754
23090592,236684
22078631,276628
7458262,26371
22081167,832529
23177472,218321
2000054188,581689
52048265,228339
23126286,218247
23111559,211432
23027182,154952
12007157,95431
19069808,81458
67009200,72424
92011957,45986
14222970,963139
19273511,401531
23117580,229719
14001289,88082
2000054996,884091
14186907,625204
2000089458,869870
71108245,623329
43190969,460302
58117067,354040
71111862,774533
19158212,199489
71035378,168292
18032107,140790
53162830,522167
2000116456,965929
59136362,622787
71101333,537853
71049111,280253
12029343,106306
57148200,295824
86028761,346132
91206074,651222
2000159105,996139
72056162,735119
33062210,369639
72044598,367393
37001800,179341
23249547,316345
23034722,230443
23083103,224160
23451448,551149
23265341,357887
23143509,316237
23172919,269429
23179988,268793
23147037,261247
19221908,606952
14010173,87824
19165097,199472
71067159,272785
23207212,315605
5124270,40445
2000010427,470260
23073174,127104
17001829,87211
62039524,172802
62063031,145702
62076361,184171
67194739,379629
33064342,411868
47040250,161922
47052556,238526
65008929,126633
23090599,218209
23187090,267553
17035381,365568
59127250,448805
17028387,499554
17033819,518360
71100620,574215
710990581,672802
2000054396,724238
71110071,747315
2000025077,748605
2000045022,810561
2000019114,885203
2000147248,887083
2000012651,547906
2000095104,712898
2000017241,762070
2000124516,905928
19119116,153207
71066927,381268
71085933,521841
24061274,575209
71111032,709478
71111028,771912
13112742,178321
37060940,412935
39045734,320421
96129140,431475
53184991,794695
53174609,628689
14024710,274058
63027394,178328
2000071870,844465
2100330,54044
12092914,854498
12093064,970502
2000050385,801356
2000101131,876273
48044171,355641
63025769,381481
29168560,435062
78074611,656355
55022435,149721
71003282,92640
2000028257,896913
2000012650,747240
33064466,467289
39057592,434957
33085252,739425
53159715,711280
39049450,400403
17027205,351722
86076178,650451
76046914,422866
72056168,637071
67214642,343714
2000039458,768726
53186812,743088
90050529,469306
2000161312,819843
58123327,371628
59118530,351616
2000010757,849429
18102747,480705
71081315,289093
24014079,115133
24043845,67856
71004226,58427
5114764,30456
71109862,654311
62216198,465555
58062031,157391
19290603,439782
19200861,269116
19026009,112239
19010256,80927
19259598,476366
5002586,15164
2000042449,590825
96122118,374416
2000042448,385870
2000095021,920210
96159960,529428
96159230,634126
96143505,619416
19223552,373300
34008670,113707
59133252,427572
71104584,419067
71101663,461663
80033775,653672
2000015836,827282
19138598,186408
2000086485,875328
76047094,562483
13112746,178313
24025752,197078
66034886,365394
43425293,561866
43372956,476066
43611788,666867
43462012,614797
59138037,688048
21031995,476045
93053655,308552
2000010319,826073
2000044727,796726
17025586,263175
59037638,186769
19262160,740732
15057908,347603
58114851,334435
71067658,248930
71044287,168830
33000917,49523
58123841,582346
77059827,641830
36058442,206628
2000012636,745038
27143653,595751
17037655,546982
24050832,341424
71030666,59877
19202493,261365
72056203,749172
2000012523,743587
15069417,539321
43610523,526098
20045110,497483
62233673,469840
71090287,396395
43266746,395880
2000016501,765867
17027346,450134
2000156928,909110
17012781,169796
17032218,365576
58129562,335726
17027264,280684
71081183,295613
52078932,329055
53126637,350866
17030570,371467
53162305,502242
93107375,527599
53163792,578547
17041017,625126
39057629,643413
53157282,663256
2000028266,720978
53086992,214005
93024446,225033
93097994,272542
17028022,344088
47079707,356892
53149997,410362
93089155,428058
27132802,464592
53146875,473352
93127342,549228
27154267,555346
2000077438,627785
2000015544,662063
2000012813,668710
12079495,678101
17039021,680895
19362778,795518
2000102372,876113
53176377,894040
7988766,78615
76015398,102269
12030145,106181
95035995,398130
51042442,401944
20042222,431152
13196967,427042
17029461,351730
62123724,329253
93095932,326505
27110487,320279
13106902,208505
93121619,626637
19035439,112478
93088193,570229
2000015838,675845
2000085116,867241
2000049470,735326
93065129,304058
2000017918,820700
9893,4146
20045078,370842
27145295,563574
41052500,561168
2000034135,637102
43426142,595176
72051155,572003
19304317,520459
93081617,428605
14077015,830785
65010117,177950
14208866,997336
17027567,214119
53120217,356119
85081320,161327
28121573,596219
71068926,381273
18059933,168156
14124212,423439
28110965,433652
86049536,381010
16162881,327911
23294637,353112
72021721,131171
19196648,296903
76013931,260380
75020648,214645
78093041,574909
79024995,415843
93122308,651269
17037301,547526
19348859,371256
43041081,171336
95020696,460266
8506647,47966
76058684,770067
2000036075,799501
85071364,126767
70048193,170659
19186200,350396
23349257,350828
58071140,392090
58140440,523848
27068564,525885
20050629,589634
58133668,598983
2000079120,638707
19398903,688099
13183099,709445
2000151952,908132
53055053,222275
1650580,49108
47000318,60938
19165967,259460
78044103,264598
28099486,357958
19260590,374413
59118631,384590
43458465,454667
96128650,458539
63033467,477306
20045058,488127
78089861,492318
72053051,497575
19312831,528004
27153463,578094
33080873,581325
96158947,612695
19338516,624630
75058348,668150
17035073,668693
93140500,789014
2000031926,792335
2000031923,802341
2000044303,809991
19061449,77389
19146082,214144
86029421,308336
71086413,332144
25059201,339081
