Football Manager ID,Transfermarkt ID
5660143,37617
96083934,36088
8718494,55627
890425,66722
884669,60550
70036197,37380
70091097,86183
70085807,86214
451754,85617
451816,85601
70036542,27567
2000026056,40863
8475531,55692
457549,2615
106670,30988
309416,10908
14229862,95430
8728250,96813
70080674,97741
37026456,30770
3801617,10374
2018775,2019
104408,34654
452073,41081
76045904,64670
14934,2450
141338,1523
2003501,1523
5341870,63572
980816,98082
4568,1665
5660195,28835
5240412,28835
75004236,28835
5666435,28835
23231999,28835
14001285,22241
14009372,22170
14185028,90689
11117,35676
7681721,99903
121131,27353
661804,98487
618097,76794
477229,62399
2000082571,91780
2014805,29309
2014692,22734
2014726,35091
5324110,5190
486719,63500
5310232,10387
484980,33032
490590,59776
478124,66874
492453,67766
8078472,63915
58049879,81632
58142509,94451
476549,71838
58150462,66145
58004161,63917
490239,68756
480278,42202
128665,51385
64000239,34952
3601111,12633
2000074351,62777
51067230,35117
2000213,22256
14086722,64885
106049,6634
955382,42372
707771,19768
662035,94297
583,65094
705752,4823
833886,96911
5785822,75907
5746431,4254
2014799,17918
5789646,41750
675528,16640
43116263,43762
5639972,46916
47017412,11437
121127,12232
7480957,15159
55061054,28678
78095562,67948
78005796,67948
8826830,67948
8827794,67948
8827982,67948
70107964,55848
70032630,30876
8478432,63783
454402,28463
450299,24792
2018773,8208
8485305,38319
120519,13105
2000144039,93338
454526,59420
454795,90166
706507,31002
67064973,92262
93127316,62270
3300008,69680
8055629,99437
490084,79356
484677,72859
484682,41038
5310323,41038
706011,80876
485098,63931
5201881,55482
19035684,93867
306572,32948
51032214,65409
824039,71214
456312,65265
467224,83535
17039710,75700
17028979,43172
487992,21326
3102697,59822
41005975,59822
105756,3138
5310542,52545
5311105,52545
5312317,81383
71010500,81383
2014743,8706
485760,1006
14148014,22146
50075001,73203
864060,27911
16305708,66353
43116840,73923
43077581,71403
43605637,88064
830603,37273
43615088,93921
88023484,39768
2000126350,99018
60009350,69957
2000107061,76896
5742819,72096
36117630,43044
6800009,22548
114840,28467
876661,21842
486205,45626
732083,59457
5700598,8239
67018499,5120
86052882,76973
5260097,27311
55038359,62294
364,36049
5701262,71736
5636643,96376
434155,28430
433959,63391
147803,73123
88022837,38043
5703182,7907
5636734,73069
138424,59040
54203381,60241
7540779,22654
43125944,99490
97100237,21455
13130394,39385
454411,82931
2000065664,84922
43026557,65164
519829,20291
458844,72485
141556,28188
7741711,28899
8480819,787
117113,24793
3301208,23935
6100549,2917
93129119,26762
37018790,19316
601741,10522
7560962,93406
38042038,49790
35014127,34514
84108338,82472
83257034,83530
2000127916,59486
47067985,29300
70079093,7900
8708300,40822
3800833,3436
884970,67
705396,2135
1507625,2562
3801540,64740
25055797,84077
53089265,54821
7852,50526
771618,35397
53119051,50408
53098026,94022
53000624,88330
763507,54821
116531,27785
5745707,56376
11038,4790
70076194,28350
35012185,4755
5601777,74727
456876,1062
70032804,89898
70056186,89897
70104939,43513
451944,34580
70112780,47988
70024433,37379
70087878,65590
55066295,59258
35007029,35802
70058664,55847
70118039,85291
454456,87864
7541403,7896
57007078,19155
836670,42550
4647,24536
4200612,30226
829744,66218
11889,25626
705606,50615
116954,49549
8830434,92725
824131,93393
140116,4796
5745853,63752
450528,1061
10418,4547
7540697,35678
7546474,6422
7542558,5001
57007381,7206
7540753,67569
140111,51803
11015,10208
450446,8536
115630,20099
104074,28937
38052229,16532
92014785,9644
684553,94641
3102376,95539
8627379,17399
148392,22446
876776,5304
92097908,24120
3735,20170
55027539,69345
1350,2150
900076,10104
4101905,29329
454866,82506
458158,82507
29039890,60205
2000080936,61630
2000079448,88517
463505,77378
70024119,61629
70024428,35727
456488,26866
457546,30975
8140,59911
451058,19920
47075920,42161
35016364,50805
703149,53749
104325,28632
91135958,29973
126639,36182
43268982,51498
43213047,42084
4301245,12162
11318,50687
70113331,88147
451784,44479
36078328,46523
104424,506
36057253,46523
680544,2335
457979,89899
70121302,88148
70047040,65975
70115371,27579
11247,18534
29039887,69963
457494,120
5385002,76851
8630537,7888
8630536,39259
35007523,3415
528684,53946
11018,24155
2014615,2730
57067017,2
475790,51530
713517,52638
7004749,17671
132783,18776
41000384,18588
36017840,47331
96146503,60963
4200440,93215
67220940,93215
67261146,93217
13204158,52977
2937,18588
128599,27866
3501243,16586
12042025,10679
23098101,75198
134946,50322
23062952,50322
98057031,53683
7581170,2440
851591,37225
7500747,2934
