Transfermarkt_id,Football_Manager_id
7484,15737
8883,143898
35251,156766
126960,359171
34691,562179
16955,717791
42141,763049
39259,778087
12563,837912
2421,890610
4687,894135
34937,916476
53134,953802
39118,954171
40501,954444
73439,955574
3755,956657
26727,957220
58178,960928
55212,961082
58911,961145
26456,961289
87409,962031
45317,962063
37433,963494
823819,964447
89246,965624
147827,1007686
147994,1007706
133813,1022206
140379,1028792
251185,1034481
156541,1035206
49108,1650580
54044,2100330
80562,2105510
54929,2111889
67819,2115899
15164,5002586
22229,5113319
30456,5114764
37170,5123150
40445,5124270
55311,5250728
19619,5323582
34787,5607656
156075,5625973
269240,5629562
26371,7458262
182595,7485621
192476,7740361
192483,7741001
78615,7988766
57344,8428615
70950,8434183
45004,8489679
37295,8505627
47966,8506647
17295,8718008
21726,8718235
83907,8826108
27374,8832967
29122,12005149
95431,12007157
141329,12008115
106306,12029343
106181,12030145
210081,12056402
678101,12079495
854498,12092914
970502,12093064
132068,13103866
221883,13106313
208505,13106902
178321,13112742
178313,13112746
288655,13139328
877536,13146206
398808,13157239
383153,13158211
402117,13158285
709445,13183099
575689,13187198
427042,13196967
717222,13201748
422666,13202292
735723,13220742
666923,13224781
639016,13225601
682279,13230915
44948,14000182
39115,14000436
108810,14000742
88082,14001289
105892,14003924
55156,14004372
66587,14005573
53477,14006633
76077,14009787
72442,14009799
87824,14010173
131840,14021511
158386,14022410
322649,14022486
141813,14022575
132347,14022598
130413,14022657
125735,14022973
113132,14023216
282631,14024705
274058,14024710
154292,14026245
359006,14026768
196173,14027303
526288,14028792
568844,14029061
171610,14036632
268642,14046848
267788,14060066
267721,14060551
419314,14062415
275625,14063590
440688,14076486
830785,14077015
553853,14077419
319691,14077421
346644,14077424
268506,14079839
360446,14079981
389152,14080328
322115,14080609
627313,14092778
442228,14110830
539399,14122270
423439,14124212
357424,14128220
384761,14129498
538612,14129803
552472,14131343
359042,14133662
534358,14137412
498172,14137864
873150,14138291
504882,14150244
697408,14154748
639359,14157431
732393,14158930
267753,14164743
442679,14174081
462768,14182440
563816,14185335
653690,14185339
625204,14186907
510132,14196308
830109,14201603
563509,14208669
997336,14208866
963139,14222970
723338,14223104
926502,14224071
697416,14225946
654732,14226014
856009,14227955
826113,14229902
906238,14241494
893854,14245562
851803,14245590
997061,14246052
838389,14253357
878775,14255871
255162,15041534
347603,15057908
539321,15069417
74770,16018103
106270,16042540
120202,16047254
321048,16184683
321054,16184795
307769,16184818
434105,16191072
442784,16248936
531834,16253198
114303,17000516
105507,17001266
87211,17001829
408605,17002691
116873,17004141
140467,17004144
159954,17004653
450945,17004841
169796,17012781
263175,17025586
351722,17027205
280684,17027264
450134,17027346
214119,17027567
249747,17027718
344088,17028022
499554,17028387
351730,17029461
297752,17029506
371467,17030570
365576,17032218
518360,17033819
470268,17034212
504081,17034991
668693,17035073
365568,17035381
525477,17037237
547526,17037301
546982,17037655
295689,17038348
470259,17038432
662411,17038937
680895,17039021
546979,17039808
915283,17040274
685910,17040377
664719,17040750
625126,17041017
54214,18017686
140790,18032107
99441,18033160
168156,18059933
410238,18095458
480705,18102747
496873,18110529
680916,18115821
140672,19006212
80927,19010256
84695,19017908
112239,19026009
196028,19027120
52915,19033594
112478,19035439
62818,19068189
81458,19069808
99900,19081796
212974,19108344
153207,19119116
271666,19125412
397090,19126109
176485,19128545
186408,19138598
214144,19146082
184604,19153570
183440,19153941
199489,19158212
143824,19164174
199472,19165097
259460,19165967
443611,19173298
350396,19186200
381724,19186267
202907,19189022
296903,19196648
411838,19197239
269116,19200861
261365,19202493
336697,19219729
363794,19220698
487347,19221061
606952,19221908
313691,19223085
344995,19223132
373300,19223552
446408,19228542
374855,19249500
476366,19259598
484847,19260171
374413,19260590
520994,19261047
740732,19262160
462755,19263865
475301,19264773
401531,19273511
572224,19278010
732215,19290396
439782,19290603
662950,19290868
520459,19304317
520629,19305272
371258,19307356
528004,19312831
522091,19320257
560417,19333258
737821,19335628
624630,19338516
739115,19339661
525510,19341140
546253,19342693
867926,19344429
671572,19348577
371256,19348859
801817,19351935
547948,19352184
691843,19352675
716388,19356202
627214,19360963
795518,19362778
555277,19362986
813122,19364338
892091,19366623
596527,19366943
837534,19367261
538107,19369947
809716,19371033
551656,19381358
688099,19398903
736954,19408820
739218,19409047
637808,19409388
726362,19411173
367555,20035012
429256,20041982
431152,20042222
481354,20044631
488127,20045058
370842,20045078
497483,20045110
501710,20045118
544138,20046490
561040,20046557
509994,20048631
615556,20048648
652622,20049298
650276,20049392
617552,20049393
589634,20050629
741061,20050671
593927,20050672
670120,20503060
511222,20503083
464870,20503409
227639,21022655
238243,21024809
317964,21027004
349058,21027125
266932,21027261
243679,21027340
397683,21030336
476045,21031995
224398,22023251
227347,22067326
579461,22077281
276628,22078631
832529,22081167
271032,23010883
211494,23011337
252158,23020217
69690,23020963
154952,23027182
211165,23027365
211281,23027606
211159,23032388
254188,23032684
156536,23032688
230430,23034718
230444,23034721
230443,23034722
185720,23035246
211831,23038949
155203,23039600
211916,23050260
156057,23050262
156072,23050267
148008,23051646
201905,23062649
202180,23064327
127104,23073174
224160,23083103
254202,23083105
252094,23088451
236684,23090592
218209,23090599
254610,23096840
254642,23096860
211902,23097650
352443,23104559
156869,23111373
211432,23111559
155648,23112690
252182,23113121
254193,23117573
229719,23117580
236523,23117582
218247,23126286
236685,23141130
218316,23142066
251936,23142135
251910,23142144
317147,23143508
316237,23143509
254622,23143669
261247,23147037
220484,23148520
266804,23148552
148178,23158018
269429,23172919
325655,23172923
269051,23177010
218321,23177472
316331,23178029
425173,23178247
240916,23178668
268793,23179988
254825,23180044
356035,23180113
267553,23187090
212413,23190466
315605,23207212
260808,23217156
269829,23217504
316465,23221052
271023,23221057
316226,23221063
269035,23221097
366533,23223685
519809,23223691
287570,23229308
314701,23229430
315614,23230223
312366,23238997
312369,23238998
279530,23249542
316345,23249547
249413,23255638
316458,23263880
425206,23264905
491972,23265216
357887,23265341
317154,23276522
424961,23285316
316334,23285570
316332,23285576
424949,23286288
353112,23294637
367332,23300438
363245,23301595
363561,23301624
560477,23303647
560913,23303686
448146,23315038
449191,23316632
527754,23327508
521008,23327512
448142,23327633
448144,23327635
424941,23327637
322230,23339358
350828,23349257
412962,23350178
468284,23361414
448114,23363368
437944,23363372
482669,23369759
359399,23381571
448482,23381794
573521,23401145
468287,23403684
493274,23403744
658712,23406779
492426,23408091
570093,23419956
508630,23420774
590630,23443280
570219,23449188
527718,23449359
571365,23450824
811834,23450948
551149,23451448
812503,23467366
115133,24014079
207007,24019902
250416,24025308
197078,24025752
226065,24041317
271626,24042334
67856,24043845
166716,24046670
286807,24047051
325887,24049323
341424,24050832
432757,24057528
575209,24061274
193590,25034137
291744,25053186
339081,25059201
688261,25062165
504130,25062504
102043,27006534
102040,27013299
654847,27024501
525885,27068564
201994,27091942
847457,27101403
320279,27110487
503567,27111205
485732,27112022
464592,27132802
514888,27139791
521278,27139926
595751,27143653
563574,27145295
578094,27153463
555346,27154267
62639,28018181
95870,28042870
196693,28059949
212575,28060559
248755,28068011
289846,28085590
321595,28087060
258917,28095476
357958,28099486
298603,28100045
303191,28100552
466634,28106521
430788,28107052
391719,28108046
433652,28110965
596219,28121573
71991,29022539
186044,29060631
264206,29103879
341882,29107357
384736,29110370
12688,29110603
446431,29127962
423277,29141400
325896,29143017
657268,29156394
433838,29158529
477449,29164159
435062,29168560
683848,29192115
683845,29192118
671488,29192123
287015,29198453
807305,29218298
610581,29218499
663251,29218508
538869,29230179
720478,29237751
747263,29240153
55512,30024161
509588,31038069
318229,31039374
682561,31039584
819712,31042060
332826,32024810
47787,33000893
49523,33000917
224693,33031095
230006,33049429
309425,33049602
471793,33061176
369639,33062210
411868,33064342
467289,33064466
448279,33070665
586591,33078020
567761,33080269
581325,33080873
564319,33082349
739425,33085252
113707,34008670
127142,34008680
60541,34011925
656831,34042951
654860,34043617
657461,34043618
589602,34044124
1004172,34044739
824392,34045182
527719,34046388
589603,34046622
824087,34054242
661821,34054243
36207,35002841
36255,35006805
52861,35014362
45691,35018024
206628,36058442
212381,36078604
497808,36137785
179341,37001800
106634,37010039
96472,37013728
186228,37022059
165975,37025697
215089,37039836
205023,37041194
273001,37041405
315130,37054235
369552,37056066
384587,37058356
412939,37060936
412935,37060940
493328,37070856
282734,37072372
652996,37084725
109816,38017482
249036,38041576
316242,39035982
320421,39045734
375053,39046368
400403,39049450
434957,39057592
643413,39057629
506276,41020426
505892,41022794
473376,41039830
559183,41039878
505789,41042628
561168,41052500
559358,41053400
648128,41056171
576737,41056663
391289,43007692
84344,43016424
171336,43041081
160334,43041089
146752,43067331
163243,43067910
528465,43073444
163663,43083937
178217,43085796
241923,43124226
229817,43131104
289085,43155221
300446,43161835
460302,43190969
349715,43207780
331062,43209143
524612,43216497
395880,43266746
392042,43269269
404597,43270425
411310,43298974
476066,43372956
547614,43407493
561866,43425293
595176,43426142
454667,43458465
540334,43458728
614797,43462012
613152,43462052
619717,43590523
526098,43610523
862308,43611681
666867,43611788
711332,43615601
718128,43617036
183436,45030288
614696,45097815
669518,45117494
60938,47000318
85506,47006673
182955,47023150
205849,47036165
161922,47040250
238526,47052556
390967,47056923
356892,47079707
649447,47094709
664617,47097685
351523,48033963
442320,48036715
465830,48037391
290613,48037830
506009,48038738
354232,48042719
487969,48043873
355641,48044171
844016,48044461
643897,48048265
395239,49037592
536472,49037851
585951,49040517
537127,49040824
659720,49048629
639058,49055174
997811,49063287
162940,51009956
384129,51042345
401944,51042442
433962,51068120
564971,51078557
228339,52048265
329055,52078932
428893,52080421
701991,52087543
73517,53004955
121406,53015879
89647,53016143
73543,53021023
73450,53026682
234183,53052829
222275,53055053
214005,53086992
313855,53088913
295509,53091225
103711,53102232
291016,53107583
410388,53108461
466918,53114434
356119,53120217
350866,53126637
476836,53131647
430031,53131689
538728,53138460
473352,53146875
410362,53149997
502888,53152434
663256,53157282
711280,53159715
549383,53159733
502242,53162305
522167,53162830
578547,53163792
539663,53165582
549382,53165598
794757,53166995
651735,53168548
671830,53168561
628689,53174609
894040,53176377
794695,53184991
743088,53186812
56014,55008237
122844,55009666
149721,55022435
139337,55024251
239546,55041611
213351,55046907
297467,55068401
46658,57001096
236127,57066264
164231,57067904
200616,57082931
341364,57120962
295824,57148200
568576,57175899
780352,57208615
896799,57211920
98539,58039641
146554,58058048
129103,58058535
157391,58062031
392090,58071140
300538,58076741
279992,58104489
334435,58114851
354040,58117067
371628,58123327
449722,58123760
582346,58123841
335726,58129562
598983,58133668
523848,58140440
135956,59035871
186769,59037638
353489,59070389
250907,59075836
290912,59101014
351616,59118530
384590,59118631
448805,59127250
427572,59133252
426648,59134622
622787,59136362
580108,59137201
522135,59137401
688048,59138037
681523,59145870
235770,61057392
52453,62026183
84712,62038432
128315,62053773
193216,62056999
186632,62083501
168152,62091679
329253,62123724
238595,62129312
465555,62216198
586924,62220040
469840,62233673
330140,63012819
381481,63025769
330275,63026960
178328,63027394
477306,63033467
515613,63033476
598656,63037978
91415,64014208
118972,65002504
126633,65008929
177950,65010117
260183,66029330
260196,66029641
261394,66031995
319366,66032261
365394,66034886
365377,66035358
486598,66039857
677475,66046964
72424,67009200
45304,67011234
196240,67055999
221985,67066748
127837,67087553
286945,67117818
273597,67157482
240031,67179312
336828,67191442
379629,67194739
376486,67196256
276029,67196452
309980,67199153
282409,67211896
343714,67214642
371970,67222263
597958,67226256
531267,67256557
522292,67260184
606752,67271371
689632,67293607
51828,68005770
40140,69000458
114956,70007114
85291,70024191
123527,70046578
170659,70048193
205956,70063055
289004,70075950
342022,70096274
456467,70104416
458108,70104854
569509,70114457
745573,70137908
92640,71003282
58427,71004226
96498,71023099
59877,71030666
168292,71035378
131444,71042583
168830,71044287
280253,71049111
330574,71049129
269371,71049851
241700,71063204
381268,71066927
272785,71067159
248930,71067658
381273,71068926
248932,71075619
316946,71075850
522834,71080706
295613,71081183
289093,71081315
521841,71085933
332144,71086413
452579,71087235
396395,71090287
381812,71090373
467241,71099059
574215,71100620
537853,71101333
461663,71101663
419067,71104584
623329,71108245
623331,71108252
654311,71109862
662033,71109900
747315,71110071
771912,71111028
709478,71111032
774533,71111862
574493,71112253
822900,71112688
131171,72021721
172023,72023604
220521,72026322
254230,72038783
255933,72039074
367393,72044598
367423,72046552
572003,72051155
570561,72051185
623183,72052927
644774,72052969
497575,72053051
735119,72056162
637071,72056168
749172,72056203
623489,74048743
535999,74052316
173035,75018797
213613,75020255
501241,75032114
340840,75032824
698490,75045679
844735,75047905
742028,75051070
738428,75054795
896213,75054987
844448,75055000
668150,75058348
668079,75058365
728526,75058396
74532,76005944
260380,76013931
102269,76015398
156569,76018497
253045,76021448
242552,76036167
422866,76046914
562483,76047094
469135,76047499
606421,76056345
770067,76058684
613201,76062698
63451,77001214
49426,77001844
664853,77032355
366028,77045771
663957,77048055
453044,77051999
662707,77059266
641830,77059827
857804,77060023
867036,77063722
143960,78001172
264598,78044103
251023,78058151
264582,78061502
420400,78063279
285171,78069690
656355,78074611
496268,78077014
489034,78087178
492318,78089861
656562,78091777
574909,78093041
583822,78093878
736964,78095787
627711,78098944
671953,78099343
416223,79007400
308041,79012413
415843,79024995
336396,79025616
670966,79030556
402979,80026243
296285,80030296
653672,80033775
288710,81001828
431602,81008639
347597,82060704
337930,83103031
415271,83111071
439774,83153406
716576,83231008
650069,83288807
587278,83313824
388588,84125475
659398,84161750
98334,85014215
127075,85056994
164936,85057199
126767,85071364
164914,85072782
161327,85081320
314862,85100192
260806,85131331
291178,85140509
346132,86028761
308336,86029421
265152,86033170
500292,86034984
263628,86035422
355632,86044005
319318,86044053
381010,86049536
348042,86057332
450237,86059741
477041,86060241
589327,86062050
650451,86076178
663868,86076856
204858,88021678
677509,88031065
434526,89057362
522476,89061389
837200,89065951
472127,89071240
628245,90042140
469306,90050529
460755,90066340
930450,90085935
84939,91002735
53149,91003951
74776,91012823
112585,91014206
83251,91018464
67064,91018523
158926,91105640
162434,91109615
111277,91123956
157372,91132871
198172,91133517
201149,91133521
87695,91136518
95941,91137308
183780,91137950
152641,91144302
234029,91144397
161674,91146726
263118,91150180
152263,91156270
428189,91175867
367426,91177155
520852,91184432
467437,91187679
471055,91190216
234177,91190528
346332,91194354
374421,91199377
229452,91199378
651222,91206074
515965,91208014
60004,92002925
45986,92011957
107872,92023781
103421,92027572
170517,92057939
331151,92090214
196791,92090460
225033,93024446
220378,93031871
201311,93034879
224971,93049302
265333,93049805
223849,93050462
308552,93053655
271806,93054664
270905,93057524
251703,93059801
304058,93065129
401319,93070285
369369,93070987
428605,93081617
357695,93085279
300532,93087462
430977,93087482
570229,93088193
428058,93089155
326505,93095932
435522,93097547
272542,93097994
527599,93107375
435342,93107716
570257,93121849
651269,93122308
549228,93127342
789014,93140500
861552,93141268
901404,93142542
906924,93146301
460266,95020696
398130,95035995
672527,95070706
419778,95078569
181118,96026801
453737,96116939
374416,96122118
521725,96125615
549668,96125621
458539,96128650
431475,96129140
619416,96143505
612695,96158947
634126,96159230
529428,96159960
98968,96501785
273905,97201433
749632,97208087
749844,97208387
86676,98001479
74288,98001753
150963,98009203
159692,98009418
203123,98029083
88404,98033346
290016,98035166
507418,98062289
672802,710990581
766200,2000008458
570143,2000009177
826073,2000010319
470260,2000010427
849429,2000010757
722748,2000011970
743587,2000012523
745038,2000012636
747240,2000012650
547906,2000012651
668710,2000012813
950405,2000013969
745090,2000015452
662063,2000015544
827282,2000015836
675845,2000015838
762180,2000016370
765867,2000016501
466748,2000016676
762070,2000017241
820700,2000017918
625132,2000018315
885203,2000019114
615705,2000019950
388409,2000020405
794925,2000021000
705136,2000021555
748605,2000025077
667455,2000026013
973639,2000026138
638649,2000026414
723134,2000027222
743562,2000027245
896913,2000028257
720978,2000028266
740889,2000029135
726036,2000030731
802341,2000031923
792335,2000031926
736774,2000032952
638703,2000033177
749771,2000033206
637102,2000034135
675259,2000034313
799501,2000036075
722435,2000037046
768726,2000039458
720038,2000040347
812589,2000040480
813385,2000040632
813889,2000040749
671433,2000042047
818004,2000042379
385870,2000042448
590825,2000042449
818396,2000043395
794191,2000043980
774057,2000044079
809991,2000044303
796726,2000044727
810561,2000045022
804793,2000045354
740153,2000045700
795248,2000046370
735326,2000049470
801356,2000050385
604355,2000051455
877320,2000053056
611025,2000053781
892773,2000053961
581689,2000054188
724238,2000054396
801579,2000054853
884091,2000054996
746136,2000059053
651288,2000060950
867603,2000061467
881215,2000061519
724969,2000063176
861189,2000065289
792493,2000065504
604353,2000065846
345788,2000069119
873978,2000070037
627040,2000070521
814367,2000071224
666441,2000071228
224006,2000071560
844465,2000071870
627785,2000077438
884641,2000078817
638707,2000079120
354900,2000079129
842860,2000079592
698415,2000079847
863119,2000080737
582309,2000081358
679789,2000082996
740192,2000083067
859174,2000083402
862661,2000083934
869825,2000084287
859022,2000084297
866506,2000084804
855880,2000084864
855709,2000084865
867241,2000085116
488296,2000085195
661633,2000085311
724535,2000085346
886458,2000086965
860645,2000086969
873070,2000088906
869870,2000089458
763956,2000092541
920210,2000095021
712898,2000095104
839279,2000096251
889487,2000096352
810621,2000097528
900624,2000100960
876273,2000101131
876113,2000102372
810635,2000102749
810643,2000102754
810644,2000102755
859905,2000109050
682325,2000109493
741295,2000111335
914558,2000111349
829859,2000112089
918606,2000112992
919810,2000115439
965929,2000116456
794115,2000117386
703006,2000119731
905928,2000124516
711595,2000124970
903786,2000127533
876602,2000128226
872754,2000138988
878062,2000139087
878076,2000139105
877525,2000139142
661982,2000139946
703775,2000143553
740023,2000144636
831759,2000144801
887083,2000147248
905069,2000151089
865741,2000151092
874964,2000151094
865731,2000151097
726618,2000151101
908132,2000151952
987825,2000155506
909110,2000156928
996139,2000159105
819843,2000161312
