Transfermarkt_id,Football_Manager_id
1665,4568
35676,11117
6408,11686
12871,13752
2450,14934
34654,104408
30988,106670
47697,115654
5977,116922
93140,127925
24669,131550
1523,141338
10908,309416
85617,451754
85601,451816
41081,452073
2615,457549
13405,851229
60550,884669
66722,890425
39045,890501
49694,926037
94861,950338
98082,980816
1523,2003501
536,2018502
52367,2018573
2019,2018775
51010,3100403
24228,3100461
33411,3600709
20324,3601486
149,3602248
10374,3801617
5847,4211704
63572,5341870
37617,5660143
28835,5660195
25055,5721900
2582,5724345
1640,6001031
17928,6001798
55692,8475531
38319,8485305
2079,8715238
35168,8718068
55627,8718494
96813,8728250
22170,14009372
95430,14229862
98323,35007305
30770,37026456
34505,37087547
94692,67270405
37380,70036197
27567,70036542
55690,70058070
97741,70080674
86214,70085807
86183,70091097
64670,76045904
4484,92021452
8204,92038318
29418,92065969
20824,96015226
35712,96020074
31178,96020615
36088,96083934
82099,96159422
9011,98007011
5857,98008141
18749,98029120
53943,98041666
40863,2000026056
28746,2000068991
88434,2000084058
71420,2000134566
83088,2000165329
